Date,Amount,Category,Merchant_Name,Payment_Mode
08-08-2024,6759.5,Utilities,PG_Rent,UPI
24-11-2024,141.71,Entertainment,Steam,Cash
08-09-2024,175.7,Food,Subway,UPI
28-09-2024,194.71,Transport,Uber,Cash
21-10-2024,542.0,Education,Coursera,Card
26-09-2024,70.66,Food,Mess_Canteen,UPI
27-09-2024,99.06,Transport,Rapido,UPI
27-10-2024,193.53,Food,CCD,Cash
22-10-2024,846.35,Utilities,PG_Rent,UPI
16-07-2024,93.99,Food,Local_Dhaba,UPI
03-09-2024,108.38,,Namma_Metro,UPI
04-07-2024,772.67,Utilities,Laundry,Cash
25-10-2024,134.95,Food,Subway,Cash
29-08-2024,403.01,Education,Xerox_Shop,UPI
2024/10/28,308.73,Entertainment,BookMyShow,UPI
13-07-2024,3322.0,Entertainment,Steam,Card
08-08-2024,83.94,Transport,Rapido,Cash
17-08-2024,281.16,Entertainment,PVR_Cinemas,UPI
2024/07/03,163.43,Transport,Rapido,UPI
07-08-2024,596.58,Utilities,Laundry,UPI
27-10-2024,167.0,Transport,Ola,Cash
28-08-2024,470.43,Utilities,Airtel,UPI
02-09-2024,594.11,Utilities,PG_Rent,UPI
16-11-2024,523.06,Education,College_Fee,UPI
28-09-2024,199.09,Food,Subway,UPI
05-06-2024,81.45,Transport,Ola,Card
13-09-2024,158.12,Entertainment,Spotify,Card
26-08-2024,506.89,Utilities,Jio_Recharge,UPI
25-08-2024,474.04,Education,Coursera,Card
02-10-2024,364.41,Education,Xerox_Shop,Card
14-10-2024,125.41,Transport,Namma_Metro,Cash
14-06-2024,108.29,Food,Zomato,UPI
21-09-2024,183.89,Food,Swiggy,Cash
28-08-2024,230.81,Food,Subway,UPI
30-06-2024,793.25,Utilities,Laundry,UPI
17-10-2024,572.68,Utilities,EB_Bill,UPI
20-11-2024,384.09,Entertainment,Netflix,Cash
12-11-2024,73.9,transport,Ola,Cash
14-06-2024,182.02,Food,Dominos,UPI
07-08-2024,175.64,Food,Dominos,Card
29-09-2024,220.69,Food,Local_Dhaba,Cash
15-06-2024,464.81,Education,Xerox_Shop,Card
17-10-2024,139.89,Transport,Uber,UPI
2024/06/07,363.03,Entertainment,BookMyShow,UPI
15-10-2024,122.94,Food,Zomato,UPI
02-11-2024,149.45,Food,Mess_Canteen,Cash
27-09-2024,142.06,Transport,Ola,UPI
20-08-2024,269.16,Entertainment,Netflix,UPI
24-07-2024,136.54,Food,CCD,Card
11-07-2024,419.62,Entertainment,Steam,Card
15-09-2024,501.55,Education,College_Fee,UPI
30-09-2024,120.6,Food,CCD,UPI
14-10-2024,861.64,Utilities,PG_Rent,Card
21-06-2024,183.45,Food,Mess_Canteen,UPI
27-08-2024,235.71,Entertainment,PVR_Cinemas,UPI
27-06-2024,596.82,Education,Udemy,UPI
27-06-2024,688.55,Utilities,Airtel,Card
2024/06/14,881.79,Utilities,Laundry,UPI
20-09-2024,496.18,Utilities,PG_Rent,UPI
21-06-2024,742.5,Utilities,Laundry,UPI
24-09-2024,529.48,Education,College_Fee,UPI
24-10-2024,139.14,Food,Subway,UPI
18-10-2024,182.48,Food,Local_Dhaba,Card
21-08-2024,491.86,Education,Coursera,UPI
14-10-2024,219.64,Food,Swiggy,Cash
30-10-2024,256.91,Entertainment,Steam,UPI
30-06-2024,1624.6000000000001,Transport,Rapido,Card
2024/11/17,725.51,Education,Coursera,UPI
10-11-2024,250.32,Food,CCD,Cash
24-07-2024,131.47,Food,Swiggy,Cash
19-06-2024,180.58,Food,Dominos,UPI
14-08-2024,415.06,Entertainment,Netflix,Card
23-07-2024,131.19,Transport,Rapido,UPI
23-10-2024,111.09,Transport,Ola,Cash
10-09-2024,453.63,Education,Books_Store,Card
18-09-2024,86.92,Food,Subway,Cash
25-07-2024,174.22,Food,Local_Dhaba,Cash
06-07-2024,217.48,Food,Dominos,Cash
09-06-2024,1048.6,Transport,Uber,Card
04-06-2024,453.2,Entertainment,Netflix,Card
2024/07/21,306.08,Entertainment,Steam,Card
2024/09/30,134.58,Transport,Uber,UPI
11-10-2024,217.32,Food,Subway,UPI
31-07-2024,555.77,Utilities,Airtel,Card
2024/11/17,139.57,Transport,Rapido,Cash
06-07-2024,160.41,Food,Zomato,UPI
08-10-2024,300.93,Utilities,Airtel,UPI
19-11-2024,137.01,Food,Subway,Card
25-10-2024,108.92,Transport,Ola,UPI
18-08-2024,91.26,Transport,BMTC_Pass,Card
2024/09/13,402.22,Education,Coursera,Cash
04-08-2024,377.35,Utilities,Laundry,UPI
19-10-2024,530.21,Utilities,EB_Bill,UPI
20-08-2024,538.63,Education,Udemy,Card
11-09-2024,155.98,Food,Local_Dhaba,UPI
08-08-2024,484.5,,Rapido,UPI
12-06-2024,502.72,Entertainment,Spotify,UPI
19-11-2024,202.17,Food,Zomato,Card
07-06-2024,148.9,Food,Mess_Canteen,UPI
29-06-2024,287.56,Entertainment,Spotify,UPI
25-07-2024,146.65,Food,CCD,Card
21-07-2024,149.38,Food,Swiggy,Cash
28-08-2024,140.27,Transport,BMTC_Pass,UPI
14-09-2024,214.97,Food,Zomato,Cash
13-09-2024,89.38,Food,Subway,Card
2024/08/05,152.9,Food,CCD,UPI
17-08-2024,387.53,Entertainment,PVR_Cinemas,UPI
10-07-2024,281.8,,Steam,Card
21-07-2024,252.48,Food,Local_Dhaba,UPI
18-10-2024,46.59,Transport,Ola,Cash
09-10-2024,424.48,,College_Fee,UPI
05-09-2024,145.68,Food,Local_Dhaba,UPI
25-07-2024,332.13,Entertainment,Netflix,Card
26-10-2024,550.05,Education,Coursera,UPI
22-10-2024,183.84,food,Mess_Canteen,Card
26-06-2024,86.88,Food,Mess_Canteen,UPI
02-11-2024,79.35,Transport,Rapido,UPI
10-11-2024,593.55,Utilities,Airtel,UPI
27-07-2024,602.64,Utilities,Laundry,Card
07-08-2024,147.85,Food,Local_Dhaba,Cash
19-06-2024,580.42,Utilities,Jio_Recharge,Card
24-06-2024,6505.8,Utilities,Jio_Recharge,Card
2024/06/04,146.84,Food,Mess_Canteen,Cash
30-07-2024,51.98,Transport,Rapido,UPI
16-09-2024,98.21,Food,Subway,UPI
30-06-2024,454.05,Entertainment,Steam,UPI
26-06-2024,487.68,Education,Udemy,UPI
19-08-2024,764.94,Utilities,Laundry,UPI
13-10-2024,281.19,Entertainment,BookMyShow,Card
16-10-2024,119.4,Food,Subway,UPI
09-08-2024,182.08,Food,Subway,UPI
05-10-2024,239.78,Entertainment,BookMyShow,UPI
12-06-2024,161.17,Food,Swiggy,UPI
28-08-2024,177.93,Food,Local_Dhaba,UPI
27-09-2024,365.32,Entertainment,Netflix,UPI
02-08-2024,124.32,Food,Swiggy,UPI
13-08-2024,132.15,Transport,Uber,UPI
